OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
JUE,784,737,34,X7SPI3HA,IEQA86RX06,SBOJKIT,8/11/2013 03:38:13 PM,11/4/2016,1,22,4,454,34,2271,2271
VST,479,737,35,S2H5R1K6,L4DPH8ESS3,SGCW5ZT,5/12/2019 03:20:00 PM,5/12/2019,1,22,0,,,0,0
VST,479,737,35,S2H5R1K6,L4DPH8ESS3,S1TD8PN,5/12/2019 03:20:00 PM,5/12/2019,1,22,0,,,0,0
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,S7CXK3G,12/3/2016 10:41:02 AM,1/24/2017,1,19,0,22,10,196,9172
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,SC8ABVY,12/30/2016 10:48:53 AM,1/26/2017,1,19,0,12,5,102,102
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,SRKI0L9,9/6/2016 11:26:17 AM,3/22/2017,1,19,0,84,32,597,645
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,SJ5UCXM,3/29/2017 05:11:26 PM,4/30/2017,1,20,2,15,12,108,11452
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,SE9LNAB,1/5/2018 06:30:00 AM,1/9/2018,1,20,0,3,1,12,806
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,S7CXK3G,7/20/2018 09:54:00 PM,8/1/2018,1,21,0,4,,21,9893
VST,479,737,35,JXK1JF3A,FDO7Z6CGG5,SI9AXTA,10/5/2018 07:44:00 AM,11/30/2018,1,21,0,21,1,134,202
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SPZ4NLT,9/6/2016 11:26:22 AM,10/1/2016,1,19,0,8,9,47,632
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SVJ27I8,9/6/2016 11:26:20 AM,10/27/2016,1,19,0,23,13,89,89
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S17YQAM,10/2/2016 11:12:36 AM,10/27/2016,1,19,0,14,4,42,2095
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SNGZ2JY,12/13/2016 07:03:31 AM,12/22/2016,1,19,0,3,2,36,98
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SUIAQEH,12/23/2016 01:40:46 PM,12/29/2016,1,19,0,3,,30,791
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SUIAQEH,1/28/2017 06:55:59 AM,2/2/2017,1,20,0,1,1,28,819
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S5JW9RU,4/30/2017 07:46:00 AM,5/13/2017,1,20,1,7,1,48,750
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SNGZ2JY,4/9/2017 07:27:14 AM,6/17/2017,1,20,3,38,5,216,611
